Date,LINK
15/8/19,2.412744999
16/8/19,2.321892977
17/8/19,2.39338994
18/8/19,2.499639988
19/8/19,2.505151987
20/8/19,2.380462885
21/8/19,2.216314077
22/8/19,2.229581118
23/8/19,2.253302097
24/8/19,2.185192108
25/8/19,2.085077047
26/8/19,2.07684803
27/8/19,2.107181072
28/8/19,1.900387049
29/8/19,1.783432961
30/8/19,1.806380033
31/8/19,1.790230989
1/9/19,1.775217056
2/9/19,1.833488941
3/9/19,1.854688048
4/9/19,1.785244942
5/9/19,1.797883987
6/9/19,1.731495976
7/9/19,1.776960015
8/9/19,1.830963969
9/9/19,1.796893001
10/9/19,1.802129984
11/9/19,1.734827042
12/9/19,1.707638979
13/9/19,1.580932975
14/9/19,1.565104961
15/9/19,1.617524981
16/9/19,1.581434965
17/9/19,1.629438043
18/9/19,1.80982101
19/9/19,1.875869989
20/9/19,1.827749968
21/9/19,1.889405012
22/9/19,1.821400046
23/9/19,1.807347059
24/9/19,1.735808969
25/9/19,1.760189056
26/9/19,1.658975959
27/9/19,1.670161009
28/9/19,1.687368035
29/9/19,1.717219949
30/9/19,1.763507009
1/10/19,1.839308023
2/10/19,2.016659975
3/10/19,1.951038003
4/10/19,1.978818059
5/10/19,1.966004014
6/10/19,2.188102961
7/10/19,2.401859045
8/10/19,2.578110933
9/10/19,2.803853035
10/10/19,2.635488033
11/10/19,2.77236104
12/10/19,2.607122898
13/10/19,2.497457981
14/10/19,2.539666891
15/10/19,2.39479208
16/10/19,2.391248941
17/10/19,2.424113035
18/10/19,2.358566999
19/10/19,2.359457016
20/10/19,2.441463947
21/10/19,2.632044077
22/10/19,2.605547905
23/10/19,2.612498999
24/10/19,2.751631975
25/10/19,2.838089943
26/10/19,2.751996994
27/10/19,2.675462008
28/10/19,2.671973944
29/10/19,2.670043945
30/10/19,2.624211073
31/10/19,2.737930059
1/11/19,2.720021963
2/11/19,2.710366011
3/11/19,2.671797991
4/11/19,2.686752081
5/11/19,2.68266201
6/11/19,2.740215063
7/11/19,2.690742016
8/11/19,2.716640949
9/11/19,2.803951025
10/11/19,2.782645941
11/11/19,2.750325918
12/11/19,2.817811012
13/11/19,3.018290043
14/11/19,3.063035965
15/11/19,3.035151958
16/11/19,3.010330915
17/11/19,2.931890965
18/11/19,2.826610088
19/11/19,2.756570101
20/11/19,2.70826602
21/11/19,2.549666882
22/11/19,2.351865053
23/11/19,2.447423935
24/11/19,2.255789995
25/11/19,2.275064945
26/11/19,2.276427984
27/11/19,2.229166031
28/11/19,2.271924973
29/11/19,2.342619896
30/11/19,2.24207592
1/12/19,2.167131901
2/12/19,2.094975948
3/12/19,2.129985094
4/12/19,2.048651934
5/12/19,2.025806904
6/12/19,2.092442036
7/12/19,2.061192036
8/12/19,2.059005976
9/12/19,2.091032028
10/12/19,2.270657063
11/12/19,2.178049088
12/12/19,2.119071007
13/12/19,2.077310085
