Date,Cryptocurrency,Crackdown,Crypto,Blockchain,Digital currency,Crypto Mining,DeFi,Altcoins,Smart contracts,Stablecoin,Bittrex,Coinbase,Vitalik,Satoshi,Cryptocurrency regulation,Gary Gensler,Tesla,Elon Musk,Whales,Decentralised finance,Distributed ledger,Halving,ICO,China Digital Currency
4/1/18,88,3,24,74,33,44,22,90,6,0,100,17,6,69,9,0,9,2,18,0,20,1,66,0
5/1/18,80,3,22,74,62,31,21,99,8,0,91,14,10,77,9,0,9,3,23,0,43,1,66,0
6/1/18,77,3,20,63,52,37,23,81,8,0,89,11,9,72,22,0,9,2,22,0,22,0,67,0
7/1/18,70,2,19,64,44,49,20,100,8,1,80,10,6,71,0,0,9,2,24,0,15,1,75,0
8/1/18,77,3,21,75,48,30,24,79,4,2,68,10,9,62,6,0,9,3,26,0,0,0,84,0
9/1/18,72,2,21,81,32,39,26,73,18,1,68,9,11,59,3,0,9,2,27,0,28,0,91,0
10/1/18,70,2,20,93,52,42,24,86,12,0,60,9,9,58,6,0,9,2,23,0,33,1,92,0
11/1/18,76,2,20,84,42,42,26,53,14,3,55,8,9,58,3,0,9,2,23,0,43,1,82,0
12/1/18,57,3,16,71,19,43,25,51,7,0,56,7,6,56,6,0,9,2,26,0,21,0,82,0
13/1/18,53,3,15,54,16,31,22,62,10,0,47,6,4,61,3,0,9,2,24,0,15,0,81,0
14/1/18,54,3,15,60,22,31,22,53,11,1,44,6,9,53,0,0,9,2,24,0,8,1,88,0
15/1/18,46,2,15,64,27,30,24,42,11,0,40,5,8,52,5,0,9,2,26,0,26,0,100,0
16/1/18,100,3,27,72,41,36,31,46,8,1,37,8,7,58,3,0,9,2,21,0,58,1,72,0
17/1/18,91,3,23,76,29,32,26,36,15,2,42,9,7,46,13,0,8,2,22,0,13,1,59,0
18/1/18,63,3,16,76,24,35,25,32,15,1,36,7,7,48,17,0,8,2,27,0,68,1,75,0
19/1/18,48,2,13,65,30,23,19,33,7,1,31,5,3,34,3,0,8,2,25,0,0,0,72,0
20/1/18,40,3,12,46,13,33,17,38,0,0,29,4,4,46,7,0,8,2,25,0,7,0,64,31
21/1/18,43,3,12,50,21,22,20,29,3,0,24,4,6,40,0,0,8,2,22,0,42,0,68,0
22/1/18,42,1,13,62,16,33,22,25,7,0,22,4,4,46,0,0,8,2,26,0,36,0,72,0
23/1/18,43,4,12,62,30,42,22,22,14,0,24,4,5,41,6,0,9,3,26,0,24,1,75,0
24/1/18,40,4,12,58,11,30,22,13,6,0,21,4,5,38,11,0,9,2,25,0,24,1,75,0
25/1/18,37,3,12,59,11,27,29,8,14,2,20,3,5,32,6,0,9,2,29,0,12,1,74,0
26/1/18,35,3,13,49,19,25,19,17,15,0,20,3,4,32,6,0,9,2,23,0,13,0,62,0
27/1/18,32,4,10,46,13,31,21,17,12,2,19,3,3,43,7,0,9,2,20,0,0,0,58,0
28/1/18,33,3,11,44,10,34,17,15,8,0,20,3,8,27,0,0,9,4,26,0,14,0,64,0
29/1/18,33,3,11,62,23,26,22,30,9,2,20,4,5,38,0,0,9,6,28,0,12,1,82,0
30/1/18,36,3,11,54,25,20,20,15,14,2,23,3,3,28,23,0,8,7,24,0,36,1,68,0
31/1/18,37,4,11,52,16,20,19,22,7,0,21,3,2,33,11,0,8,5,28,0,12,1,68,15
1/2/18,48,2,12,52,16,26,25,26,7,0,15,4,10,28,0,3,8,4,33,0,12,1,66,0
2/2/18,61,4,15,52,24,17,18,10,8,0,16,4,6,39,6,0,8,4,32,0,13,1,41,0
3/2/18,33,3,9,35,22,19,20,17,5,2,20,3,3,41,0,0,9,4,27,0,0,0,41,0
4/2/18,31,2,9,37,29,19,21,11,7,0,17,3,4,31,0,0,8,3,21,0,14,1,50,17
5/2/18,46,3,13,46,14,21,27,15,16,2,17,4,1,38,6,0,9,4,30,0,0,1,41,0
6/2/18,56,4,15,47,23,26,27,22,10,4,15,4,3,29,6,0,16,21,24,0,24,0,45,15
7/2/18,34,3,10,50,16,12,20,13,3,0,16,4,2,33,0,0,32,39,25,0,49,0,52,15
8/2/18,29,3,9,55,14,19,19,18,14,2,17,3,5,33,12,0,25,22,29,0,37,1,55,0
9/2/18,28,2,8,44,10,17,19,17,14,0,19,3,2,41,6,0,18,15,25,0,38,0,49,0
10/2/18,28,1,8,32,8,26,13,11,5,0,16,3,5,25,0,0,15,13,24,0,0,0,38,0
11/2/18,25,3,8,31,16,23,18,9,8,0,9,2,5,30,6,0,14,14,28,0,28,0,37,0
12/2/18,27,2,8,42,16,30,33,12,9,0,12,2,1,30,0,0,12,11,26,0,62,0,46,0
13/2/18,22,3,8,47,12,21,22,8,10,0,14,2,2,28,0,0,11,8,23,0,37,0,51,0
14/2/18,26,2,7,43,14,21,28,18,10,0,11,3,4,33,12,0,9,6,20,0,12,1,48,0
15/2/18,26,2,8,52,16,24,27,3,10,0,17,3,9,34,6,0,9,6,27,0,100,0,56,0
16/2/18,22,4,7,49,15,21,22,5,9,0,15,4,2,27,6,3,10,6,22,0,39,0,45,0
17/2/18,22,2,7,35,19,20,20,8,5,0,15,3,6,30,0,0,10,5,20,0,14,0,41,0
18/2/18,20,2,7,35,8,14,19,6,2,0,14,2,4,29,0,0,10,5,24,0,28,0,44,0
19/2/18,19,3,7,48,7,18,27,5,9,0,15,2,5,32,0,0,9,4,26,0,12,1,49,0
20/2/18,24,3,8,52,16,25,20,11,7,0,15,3,4,23,0,0,9,4,26,0,12,0,51,0
21/2/18,28,2,8,48,18,17,16,19,8,0,16,3,5,22,0,0,9,4,19,0,36,1,49,0
22/2/18,22,3,7,47,18,15,20,19,7,2,14,2,4,22,0,0,9,4,32,0,36,0,43,0
23/2/18,21,1,6,42,7,17,25,5,12,0,16,2,5,19,0,0,10,4,24,0,64,0,44,0
24/2/18,18,2,6,33,8,15,19,9,3,0,14,2,3,26,0,0,10,4,20,0,56,0,33,0
25/2/18,18,3,5,33,10,12,25,4,3,0,11,2,3,33,6,0,9,4,24,0,27,0,34,0
26/2/18,19,1,6,48,16,4,22,10,17,0,14,2,4,29,6,0,9,3,28,0,24,2,48,0
27/2/18,16,4,6,50,7,15,28,3,13,0,15,2,2,25,11,0,8,3,28,0,48,1,45,0
28/2/18,18,4,6,45,7,21,20,11,10,2,17,2,5,39,6,0,8,3,29,0,0,0,48,0
1/3/18,15,5,6,45,11,9,26,2,7,0,14,2,3,22,0,0,9,3,30,0,24,0,47,0
2/3/18,15,6,6,37,12,12,24,7,3,0,16,2,5,23,0,0,9,3,22,0,13,0,38,0
3/3/18,15,5,5,30,13,14,20,6,8,0,12,2,1,24,0,0,8,3,23,0,14,1,36,0
4/3/18,13,2,5,34,8,27,25,9,5,0,11,2,1,20,13,0,9,3,31,0,0,0,36,0
5/3/18,16,4,6,43,9,7,22,11,13,0,13,4,2,21,6,0,8,2,20,0,36,1,43,0
6/3/18,15,3,6,49,11,14,28,8,11,0,13,3,3,20,6,0,9,3,31,0,48,1,38,0
