Date,XRP
21/6/19,0.443188012
22/6/19,0.474763989
23/6/19,0.468291014
24/6/19,0.470088005
25/6/19,0.468228996
26/6/19,0.467451006
27/6/19,0.408753991
28/6/19,0.427314997
29/6/19,0.429378003
30/6/19,0.396411002
1/7/19,0.406861991
2/7/19,0.400204003
3/7/19,0.408531994
4/7/19,0.388718992
5/7/19,0.378964007
6/7/19,0.389055014
7/7/19,0.397047013
8/7/19,0.401533008
9/7/19,0.394167989
10/7/19,0.363775015
11/7/19,0.330334991
12/7/19,0.344117999
13/7/19,0.33217901
14/7/19,0.306425989
15/7/19,0.315310001
16/7/19,0.296725988
17/7/19,0.310613006
18/7/19,0.323175997
19/7/19,0.32060501
20/7/19,0.333209008
21/7/19,0.331308991
22/7/19,0.322106004
23/7/19,0.309926003
24/7/19,0.315946996
25/7/19,0.314810008
26/7/19,0.323529989
27/7/19,0.31052801
28/7/19,0.312287986
29/7/19,0.310658008
30/7/19,0.318470001
31/7/19,0.320908993
1/8/19,0.317905992
2/8/19,0.312393993
3/8/19,0.316756994
4/8/19,0.319842011
5/8/19,0.323563993
6/8/19,0.311325997
7/8/19,0.311969012
8/8/19,0.307660997
9/8/19,0.297342986
10/8/19,0.298720986
11/8/19,0.30191499
12/8/19,0.300321996
13/8/19,0.296638995
14/8/19,0.263343006
15/8/19,0.264881998
16/8/19,0.261970997
17/8/19,0.265720993
18/8/19,0.282646
19/8/19,0.283327997
20/8/19,0.27580601
21/8/19,0.266261011
22/8/19,0.270943999
23/8/19,0.276544988
24/8/19,0.272552997
25/8/19,0.270087987
26/8/19,0.270788014
27/8/19,0.269618005
28/8/19,0.257450014
29/8/19,0.257045001
30/8/19,0.256217986
31/8/19,0.259204
1/9/19,0.258053988
2/9/19,0.260820001
3/9/19,0.263139009
4/9/19,0.25990501
5/9/19,0.256345987
6/9/19,0.252339989
7/9/19,0.260686994
8/9/19,0.263083994
9/9/19,0.259561986
10/9/19,0.258670986
11/9/19,0.255955994
12/9/19,0.254810989
13/9/19,0.25555101
14/9/19,0.26116699
15/9/19,0.261628002
16/9/19,0.260951996
17/9/19,0.28501299
18/9/19,0.313775986
19/9/19,0.302441001
20/9/19,0.294470012
21/9/19,0.289442986
22/9/19,0.278930992
23/9/19,0.268674999
24/9/19,0.235226005
25/9/19,0.246441007
26/9/19,0.243783996
27/9/19,0.244020998
28/9/19,0.242570996
29/9/19,0.241387993
30/9/19,0.255932987
1/10/19,0.249565005
2/10/19,0.253538996
3/10/19,0.24786
4/10/19,0.253935009
5/10/19,0.25345701
6/10/19,0.257705003
7/10/19,0.275685012
8/10/19,0.278459013
9/10/19,0.281626999
10/10/19,0.272073001
11/10/19,0.271099001
12/10/19,0.273191005
13/10/19,0.277765006
14/10/19,0.296523005
15/10/19,0.288702011
16/10/19,0.284640014
17/10/19,0.302314997
18/10/19,0.295004994
19/10/19,0.293022007
20/10/19,0.294178993
21/10/19,0.292979002
22/10/19,0.291606992
23/10/19,0.27414301
24/10/19,0.27849099
25/10/19,0.298164994
26/10/19,0.293698996
27/10/19,0.298099995
28/10/19,0.296007007
29/10/19,0.301955998
30/10/19,0.296555012
31/10/19,0.296357989
1/11/19,0.292641997
2/11/19,0.296263009
3/11/19,0.291260988
4/11/19,0.29993701
5/11/19,0.301254988
6/11/19,0.310086012
7/11/19,0.292430997
8/11/19,0.276953012
9/11/19,0.280196011
10/11/19,0.280203998
11/11/19,0.275085986
12/11/19,0.272417992
13/11/19,0.273036003
14/11/19,0.270390987
15/11/19,0.26165399
16/11/19,0.263886005
17/11/19,0.265253007
18/11/19,0.255652994
19/11/19,0.256500006
20/11/19,0.251363993
21/11/19,0.243765995
22/11/19,0.231600001
23/11/19,0.236187994
24/11/19,0.223184004
25/11/19,0.218621999
26/11/19,0.222145006
27/11/19,0.225080997
28/11/19,0.224570006
29/11/19,0.230216995
30/11/19,0.226474002
1/12/19,0.225333005
2/12/19,0.219580993
3/12/19,0.219870001
4/12/19,0.216348007
5/12/19,0.222928002
6/12/19,0.225504994
7/12/19,0.228444993
8/12/19,0.230434999
9/12/19,0.225452006
10/12/19,0.224301994
11/12/19,0.222053006
12/12/19,0.219859004
13/12/19,0.220754996
14/12/19,0.217355996
15/12/19,0.218601003
16/12/19,0.207224995
17/12/19,0.183698997
18/12/19,0.196176007
19/12/19,0.190818995
20/12/19,0.195316002
21/12/19,0.194082007
22/12/19,0.196978003
