Date,ADA,BCH,BNB,BTC,DOGE,ETH,LINK,LTC,XMR,XRP
19/2/18,0.391472012,1534.77002,11.07569981,11225.2998,0.006697,943.8649902,0.774362028,223.0570068,316.493988,1.144420028
20/2/18,0.378778994,1418.72998,9.904509544,11403.7002,0.007094,895.3709717,0.699926019,232.8509979,304.3959961,1.089460015
21/2/18,0.364441007,1308.459961,9.380789757,10690.40039,0.006581,849.9710083,0.653669,213.352005,322.6069946,1.015390038
22/2/18,0.337870985,1219.48999,8.904029846,10005,0.006259,812.8449707,0.601922989,195.3079987,282.7600098,0.941788018
23/2/18,0.345257998,1270.709961,9.692110062,10301.09961,0.006648,864.1890259,0.674790978,209.3090057,285.7080078,0.998854995
24/2/18,0.322966009,1193.27002,9.141909599,9813.070313,0.006324,840.5150146,0.650958002,209.4219971,273.7900085,0.95440203
25/2/18,0.344033003,1178.099976,9.346599579,9664.730469,0.006142,844.8099976,0.675715029,220.4750061,281.0230103,0.943486989
26/2/18,0.338335007,1250.560059,9.902319908,10366.7002,0.006339,869.3150024,0.691446006,220.9620056,293.6080017,0.956858993
27/2/18,0.335536003,1246.660034,10.65989971,10725.59961,0.006291,878.2650146,0.723957002,216.598999,302.5409851,0.947305024
28/2/18,0.312581003,1204.160034,10.4382,10397.90039,0.006018,855.1989746,0.661446989,202.8950043,285.696991,0.904582977
1/3/18,0.304396987,1291.920044,10.50969982,10951,0.006215,872.2000122,0.663065016,209.75,314.0350037,0.928346992
2/3/18,0.293504,1275.180054,10.22480011,11086.40039,0.005482,856.8530273,0.652742028,212.5559998,344.7290039,0.910143971
3/3/18,0.297105998,1270.380005,10.21790028,11489.7002,0.005301,857.2249756,0.628705978,210.6430054,352.9549866,0.907804012
4/3/18,0.300787002,1289.079956,10.34809971,11512.59961,0.005502,866.6779785,0.592818022,213.798996,368.973999,1.005540013
5/3/18,0.297621995,1268.030029,10.11050034,11573.2998,0.005218,853.684021,0.58673799,211.1750031,373.2470093,0.95936799
6/3/18,0.285356998,1206.040039,9.384380341,10779.90039,0.00461,816.9509888,0.533869982,196.6009979,346.3980103,0.922887027
