Date,XMR
17/6/19,98.34902191
18/6/19,96.24350739
19/6/19,100.4072189
20/6/19,104.9799728
21/6/19,109.234108
22/6/19,114.7058563
23/6/19,115.132637
24/6/19,117.4162521
25/6/19,112.316864
26/6/19,103.9180603
27/6/19,94.41455841
28/6/19,101.6423645
29/6/19,99.96211243
30/6/19,87.74494171
1/7/19,88.4232254
2/7/19,86.26490784
3/7/19,90.00179291
4/7/19,87.82326508
5/7/19,89.12901306
6/7/19,93.93950653
7/7/19,107.1832199
8/7/19,101.5864944
9/7/19,99.41808319
10/7/19,94.93703461
11/7/19,89.11467743
12/7/19,98.2504425
13/7/19,93.36399841
14/7/19,85.91722107
15/7/19,89.49606323
16/7/19,74.01622009
17/7/19,76.45850372
18/7/19,84.12104797
19/7/19,82.29665375
20/7/19,85.32260895
21/7/19,83.95735931
22/7/19,83.18122864
23/7/19,80.86270142
24/7/19,80.4883728
25/7/19,80.68287659
26/7/19,80.29389954
27/7/19,78.86574554
28/7/19,79.49067688
29/7/19,77.95835114
30/7/19,78.37662506
31/7/19,80.68119812
1/8/19,81.96608734
2/8/19,83.9127121
3/8/19,88.19372559
4/8/19,88.18010712
5/8/19,93.65410614
6/8/19,89.74371338
7/8/19,97.48582458
8/8/19,95.15493774
9/8/19,93.36286163
10/8/19,90.88433838
11/8/19,92.25353241
12/8/19,91.18199158
13/8/19,85.52414703
14/8/19,78.48469543
15/8/19,82.5267334
16/8/19,82.49869537
17/8/19,81.9888916
18/8/19,88.02477264
19/8/19,90.15348053
20/8/19,85.74105835
21/8/19,80.56548309
22/8/19,82.25351715
23/8/19,82.16862488
24/8/19,80.73691559
25/8/19,80.37310028
26/8/19,79.70442963
27/8/19,78.20833588
28/8/19,72.3657074
29/8/19,67.16036987
30/8/19,67.85059357
31/8/19,67.53575134
1/9/19,71.77680206
2/9/19,73.17746735
3/9/19,74.92861938
4/9/19,73.92746735
5/9/19,75.96354675
6/9/19,75.6030426
7/9/19,78.39464569
8/9/19,77.37595367
9/9/19,75.14642334
10/9/19,72.22940826
11/9/19,74.36142731
12/9/19,75.12957001
13/9/19,76.91072845
14/9/19,76.03797913
15/9/19,75.69106293
16/9/19,75.34508514
17/9/19,74.28340912
18/9/19,81.76528931
19/9/19,76.02626038
20/9/19,74.00644684
21/9/19,72.82688904
22/9/19,73.18858337
23/9/19,68.7199173
24/9/19,59.21656418
25/9/19,59.86414337
26/9/19,57.57405853
27/9/19,58.04192734
28/9/19,57.97964478
29/9/19,56.16451645
30/9/19,56.81663895
1/10/19,55.84288788
2/10/19,56.06088257
3/10/19,56.27139282
4/10/19,57.66847992
5/10/19,56.50080872
6/10/19,55.49547577
7/10/19,56.5525856
8/10/19,55.86946487
9/10/19,57.44652939
10/10/19,55.95108414
11/10/19,54.48323441
12/10/19,53.81121445
13/10/19,53.52548218
14/10/19,53.02199173
15/10/19,52.18826675
16/10/19,55.08811951
17/10/19,56.05326462
18/10/19,56.50609589
19/10/19,54.69813919
20/10/19,56.42353439
21/10/19,57.8382988
22/10/19,56.65880966
23/10/19,53.00922012
24/10/19,53.55207825
25/10/19,58.97127151
26/10/19,56.73090744
27/10/19,59.75286865
28/10/19,59.54887772
29/10/19,59.86435318
30/10/19,58.62070465
31/10/19,59.29570389
1/11/19,60.87179184
2/11/19,62.30655289
3/11/19,63.46737671
4/11/19,63.13353729
5/11/19,62.984478
6/11/19,64.20882416
7/11/19,63.50532913
8/11/19,60.89073181
9/11/19,62.18224716
10/11/19,63.90266418
11/11/19,61.92992401
12/11/19,62.25762939
13/11/19,65.33023834
14/11/19,65.53817749
15/11/19,61.95836639
16/11/19,62.00735855
17/11/19,62.14468002
18/11/19,59.37510681
19/11/19,58.9641037
20/11/19,58.25162125
21/11/19,54.14484024
22/11/19,51.26661682
23/11/19,52.11064529
24/11/19,48.22219467
25/11/19,50.20090866
26/11/19,51.72007751
27/11/19,55.96301651
28/11/19,54.03130341
29/11/19,55.95418549
30/11/19,54.76593781
1/12/19,53.58626175
2/12/19,54.03166199
3/12/19,53.42660904
4/12/19,53.05144501
5/12/19,54.00649261
6/12/19,54.24589157
7/12/19,54.72345734
8/12/19,54.24336624
9/12/19,54.31090927
10/12/19,53.00785828
11/12/19,53.06813049
12/12/19,53.30687332
13/12/19,52.61967087
14/12/19,51.59382248
15/12/19,50.92495728
16/12/19,49.44870758
17/12/19,44.94410706
18/12/19,47.93243408
19/12/19,47.86513138
20/12/19,47.05842209
21/12/19,45.53125763
22/12/19,47.45592499
23/12/19,47.34355164
24/12/19,46.20875168
25/12/19,46.50020981
26/12/19,45.30704117
27/12/19,45.3444252
28/12/19,45.54868317
29/12/19,46.82925797
30/12/19,46.49808502
31/12/19,44.56788635
1/1/20,45.75354385
2/1/20,45.74946976
3/1/20,51.0920372
4/1/20,50.53669357
5/1/20,54.09689331
6/1/20,58.97091675
7/1/20,58.81829453
8/1/20,59.46417236
9/1/20,59.19731522
10/1/20,58.57402802
11/1/20,58.45027161
12/1/20,59.32476425
13/1/20,58.0056839
14/1/20,62.82190323
15/1/20,68.33885193
16/1/20,65.68069458
17/1/20,69.17634583
18/1/20,67.18946838
19/1/20,65.12628937
20/1/20,64.98976898
21/1/20,65.96295929
22/1/20,65.03414154
23/1/20,62.53315735
24/1/20,61.7647934
25/1/20,61.52178955
26/1/20,63.87039566
27/1/20,65.58409882
28/1/20,67.72108459
29/1/20,70.0408783
30/1/20,74.97740936
31/1/20,72.08708954
1/2/20,73.33705902
2/2/20,75.03939056
3/2/20,76.82463837
4/2/20,75.27223206
5/2/20,77.99447632
6/2/20,78.08669281
7/2/20,79.56542206
8/2/20,80.67391968
9/2/20,87.6192627
10/2/20,84.82434082
11/2/20,89.82136536
12/2/20,95.24085999
13/2/20,92.46109009
