Date,ADA
23/1/19,0.0429
24/1/19,0.043026999
25/1/19,0.042691
26/1/19,0.042649001
27/1/19,0.041168001
28/1/19,0.038772002
29/1/19,0.038251001
30/1/19,0.039655998
31/1/19,0.038373999
1/2/19,0.038678002
2/2/19,0.039317001
3/2/19,0.038029
4/2/19,0.037857
5/2/19,0.037896
6/2/19,0.036663
7/2/19,0.036396001
8/2/19,0.040750999
9/2/19,0.041058
10/2/19,0.042830002
11/2/19,0.041733
12/2/19,0.041751001
13/2/19,0.041118
14/2/19,0.040539999
15/2/19,0.040600002
16/2/19,0.041026
17/2/19,0.041452002
18/2/19,0.045605
19/2/19,0.046158001
20/2/19,0.047550999
21/2/19,0.044969
22/2/19,0.046163
23/2/19,0.048593
24/2/19,0.042456001
25/2/19,0.044043001
26/2/19,0.043304
27/2/19,0.043269999
28/2/19,0.043122999
1/3/19,0.043279
2/3/19,0.042838
3/3/19,0.042312
4/3/19,0.040601999
5/3/19,0.043212
6/3/19,0.042842999
7/3/19,0.042943999
8/3/19,0.042663999
9/3/19,0.046728
10/3/19,0.045697998
11/3/19,0.047633
12/3/19,0.047396999
13/3/19,0.04659
14/3/19,0.048055001
15/3/19,0.050076999
16/3/19,0.051621001
17/3/19,0.050207
18/3/19,0.050452001
19/3/19,0.052593999
20/3/19,0.053890999
21/3/19,0.052900001
22/3/19,0.058061998
23/3/19,0.063781001
24/3/19,0.061703999
25/3/19,0.059025001
26/3/19,0.062369999
27/3/19,0.067594998
28/3/19,0.065828003
29/3/19,0.071289003
30/3/19,0.071739003
31/3/19,0.069746003
1/4/19,0.072329998
2/4/19,0.085467003
3/4/19,0.090723
4/4/19,0.087370001
5/4/19,0.091225997
6/4/19,0.090288997
7/4/19,0.090484001
8/4/19,0.087008998
9/4/19,0.083749004
10/4/19,0.089964002
11/4/19,0.083384998
12/4/19,0.083462998
13/4/19,0.083731003
14/4/19,0.084642999
15/4/19,0.082307003
16/4/19,0.083783001
17/4/19,0.083074003
18/4/19,0.081775002
19/4/19,0.079499997
20/4/19,0.076505996
21/4/19,0.074106
22/4/19,0.078039996
23/4/19,0.074524
24/4/19,0.072645001
25/4/19,0.069243997
26/4/19,0.069219001
27/4/19,0.070196003
28/4/19,0.068590999
29/4/19,0.064631
30/4/19,0.070345998
1/5/19,0.069013998
2/5/19,0.068579003
3/5/19,0.069858
4/5/19,0.066880003
5/5/19,0.066146001
6/5/19,0.066780001
7/5/19,0.064035997
8/5/19,0.064606003
9/5/19,0.061691001
10/5/19,0.063428
11/5/19,0.075171001
12/5/19,0.070086002
13/5/19,0.073072001
14/5/19,0.084504999
15/5/19,0.093951002
16/5/19,0.088160999
17/5/19,0.08326
18/5/19,0.079103999
19/5/19,0.086995997
20/5/19,0.084848002
21/5/19,0.084616996
22/5/19,0.077955
23/5/19,0.080689996
24/5/19,0.080868997
25/5/19,0.080502003
26/5/19,0.086014003
27/5/19,0.091695003
28/5/19,0.092814997
29/5/19,0.090866998
30/5/19,0.084509999
31/5/19,0.089441001
1/6/19,0.090533003
2/6/19,0.096578002
3/6/19,0.088707998
4/6/19,0.082486004
5/6/19,0.083438002
6/6/19,0.083471999
7/6/19,0.085807003
8/6/19,0.084213004
9/6/19,0.079470001
10/6/19,0.085537001
11/6/19,0.087964997
12/6/19,0.096524999
13/6/19,0.089739002
14/6/19,0.090618998
15/6/19,0.091683
16/6/19,0.092321001
17/6/19,0.093557
18/6/19,0.089148
19/6/19,0.089979
20/6/19,0.087384999
21/6/19,0.089561999
22/6/19,0.094366997
23/6/19,0.096643999
24/6/19,0.097718999
25/6/19,0.096357003
26/6/19,0.096819997
27/6/19,0.086448997
28/6/19,0.089295
29/6/19,0.090421997
30/6/19,0.082098
1/7/19,0.083821997
2/7/19,0.081077002
3/7/19,0.082998
4/7/19,0.077774003
5/7/19,0.076531999
6/7/19,0.077335
7/7/19,0.079963997
8/7/19,0.080476001
9/7/19,0.077992998
10/7/19,0.071939997
11/7/19,0.065199003
12/7/19,0.069753997
13/7/19,0.066770002
14/7/19,0.059429001
15/7/19,0.059537001
16/7/19,0.052051999
17/7/19,0.055238999
18/7/19,0.058772001
19/7/19,0.059787001
20/7/19,0.062958002
21/7/19,0.061202999
22/7/19,0.059466001
23/7/19,0.055812001
24/7/19,0.059046
25/7/19,0.058664002
26/7/19,0.062884003
27/7/19,0.059870999
28/7/19,0.059473999
29/7/19,0.060392998
30/7/19,0.059944
31/7/19,0.060152002
1/8/19,0.058871999
2/8/19,0.057411999
3/8/19,0.057762999
4/8/19,0.056271002
5/8/19,0.056680001
6/8/19,0.053369001
7/8/19,0.051906001
8/8/19,0.051970001
9/8/19,0.047641002
10/8/19,0.051980998
11/8/19,0.054981001
12/8/19,0.052937999
13/8/19,0.052561
14/8/19,0.046999998
15/8/19,0.047518998
16/8/19,0.046840999
17/8/19,0.047393002
18/8/19,0.050731
19/8/19,0.050298002
20/8/19,0.049194999
21/8/19,0.047113001
22/8/19,0.04941
23/8/19,0.049789999
24/8/19,0.050177
25/8/19,0.049439002
26/8/19,0.049697001
27/8/19,0.049839001
28/8/19,0.045825001
29/8/19,0.044697002
30/8/19,0.044824999
31/8/19,0.044989999
1/9/19,0.044543002
2/9/19,0.045361999
3/9/19,0.046771001
4/9/19,0.045517001
5/9/19,0.044436999
6/9/19,0.044415001
7/9/19,0.046197999
8/9/19,0.046719
9/9/19,0.046930999
10/9/19,0.04651
11/9/19,0.044989999
12/9/19,0.045451999
13/9/19,0.045752998
14/9/19,0.046523999
15/9/19,0.046799
16/9/19,0.047070999
17/9/19,0.049008001
18/9/19,0.053291999
19/9/19,0.052503999
20/9/19,0.052340001
21/9/19,0.051922001
22/9/19,0.049111001
23/9/19,0.046264
24/9/19,0.037572999
25/9/19,0.039395999
26/9/19,0.038229
27/9/19,0.039531998
28/9/19,0.038826998
29/9/19,0.037486002
30/9/19,0.038885001
1/10/19,0.038507
2/10/19,0.039445002
3/10/19,0.038361002
4/10/19,0.039666999
5/10/19,0.039730001
6/10/19,0.039324
7/10/19,0.041671999
8/10/19,0.041441001
9/10/19,0.042629
10/10/19,0.041661002
11/10/19,0.040623002
12/10/19,0.040541999
13/10/19,0.041324999
14/10/19,0.041788999
15/10/19,0.039765999
16/10/19,0.038741
17/10/19,0.039524
18/10/19,0.038073
19/10/19,0.039225001
20/10/19,0.039528999
21/10/19,0.039280001
22/10/19,0.038816001
23/10/19,0.036409002
24/10/19,0.037684999
25/10/19,0.041246001
26/10/19,0.040546998
27/10/19,0.042335
28/10/19,0.042362999
29/10/19,0.043444
30/10/19,0.041967001
31/10/19,0.041636001
1/11/19,0.042344999
2/11/19,0.042599
3/11/19,0.041930001
4/11/19,0.043235999
5/11/19,0.044328
6/11/19,0.044955999
7/11/19,0.043637
8/11/19,0.042296998
9/11/19,0.042445
10/11/19,0.043958001
11/11/19,0.043194
12/11/19,0.043767001
13/11/19,0.043492001
14/11/19,0.043118998
15/11/19,0.043974001
16/11/19,0.044172
17/11/19,0.045421001
18/11/19,0.043802001
19/11/19,0.042541999
20/11/19,0.041177999
21/11/19,0.038406
22/11/19,0.037147999
23/11/19,0.038343001
24/11/19,0.035588
25/11/19,0.036047999
26/11/19,0.036993001
27/11/19,0.039049
28/11/19,0.039190002
29/11/19,0.041423
30/11/19,0.040424999
1/12/19,0.039586999
2/12/19,0.038056001
3/12/19,0.037916999
4/12/19,0.037404999
5/12/19,0.037870999
6/12/19,0.038316999
7/12/19,0.038757
8/12/19,0.038947999
9/12/19,0.037482999
10/12/19,0.036605999
11/12/19,0.036655001
12/12/19,0.036722999
13/12/19,0.037108
14/12/19,0.036426999
15/12/19,0.036653001
16/12/19,0.034269001
17/12/19,0.031800002
18/12/19,0.034462001
19/12/19,0.033250999
20/12/19,0.034003999
21/12/19,0.033261999
22/12/19,0.034465998
23/12/19,0.033199999
24/12/19,0.034162
25/12/19,0.033728
26/12/19,0.034281
27/12/19,0.033100002
28/12/19,0.033631999
29/12/19,0.034283999
30/12/19,0.033594001
31/12/19,0.032845002
1/1/20,0.033457998
2/1/20,0.032751001
3/1/20,0.03418
4/1/20,0.034595001
5/1/20,0.034720998
6/1/20,0.037271999
7/1/20,0.037046999
8/1/20,0.036435001
9/1/20,0.036359001
10/1/20,0.036874
11/1/20,0.036825001
12/1/20,0.037689999
13/1/20,0.036966
14/1/20,0.04166
15/1/20,0.042553
16/1/20,0.041391
17/1/20,0.044978
18/1/20,0.044851001
19/1/20,0.041979
20/1/20,0.043873001
21/1/20,0.045988999
22/1/20,0.045653999
23/1/20,0.043334
24/1/20,0.045003999
25/1/20,0.043248001
26/1/20,0.044581
27/1/20,0.047912002
28/1/20,0.052857
29/1/20,0.053514
30/1/20,0.05607
31/1/20,0.053792998
1/2/20,0.056092001
2/2/20,0.055768002
3/2/20,0.056979001
4/2/20,0.055996001
5/2/20,0.059230998
6/2/20,0.059757002
7/2/20,0.05979
8/2/20,0.059944
9/2/20,0.061809
10/2/20,0.060394
11/2/20,0.063228004
12/2/20,0.068373002
13/2/20,0.068581
14/2/20,0.070579998
15/2/20,0.063863002
16/2/20,0.062654004
17/2/20,0.060042001
18/2/20,0.062596999
19/2/20,0.057645001
20/2/20,0.058260001
21/2/20,0.058639999
22/2/20,0.058336001
23/2/20,0.06151
24/2/20,0.058959998
25/2/20,0.056364
26/2/20,0.049453001
27/2/20,0.049685001
28/2/20,0.048616
29/2/20,0.047541
1/3/20,0.045931999
2/3/20,0.048953
3/3/20,0.048760999
4/3/20,0.049004
5/3/20,0.051057
6/3/20,0.051447999
7/3/20,0.048944999
8/3/20,0.043290999
9/3/20,0.041482002
10/3/20,0.041494999
11/3/20,0.039648999
12/3/20,0.023961
13/3/20,0.028437
14/3/20,0.026009001
15/3/20,0.02712
16/3/20,0.024121
17/3/20,0.025242999
18/3/20,0.025335999
19/3/20,0.030451
20/3/20,0.029368
21/3/20,0.029414
22/3/20,0.027089
23/3/20,0.029082
24/3/20,0.030162999
25/3/20,0.029438
26/3/20,0.030727001
27/3/20,0.029301001
28/3/20,0.029771
29/3/20,0.028248999
30/3/20,0.029873
31/3/20,0.030553
1/4/20,0.030855
2/4/20,0.031984001
3/4/20,0.032295
4/4/20,0.032504998
5/4/20,0.032003
6/4/20,0.035615999
7/4/20,0.035137001
8/4/20,0.036313999
9/4/20,0.036198001
10/4/20,0.033215001
11/4/20,0.033353999
12/4/20,0.033806
13/4/20,0.033107001
14/4/20,0.032974001
15/4/20,0.031863
16/4/20,0.034407999
18/4/20,0.036552999
19/4/20,0.035815999
20/4/20,0.034177002
21/4/20,0.034699999
22/4/20,0.036559001
23/4/20,0.040605001
24/4/20,0.041868001
25/4/20,0.042408001
26/4/20,0.045878999
27/4/20,0.046601001
28/4/20,0.047194999
29/4/20,0.051695
30/4/20,0.047846001
1/5/20,0.051259998
2/5/20,0.051013999
3/5/20,0.048928998
4/5/20,0.049663998
5/5/20,0.049357999
6/5/20,0.049766999
7/5/20,0.051105998
8/5/20,0.052303001
9/5/20,0.051736001
10/5/20,0.047676999
11/5/20,0.048108
12/5/20,0.050421
13/5/20,0.051472001
14/5/20,0.050889999
15/5/20,0.050462998
16/5/20,0.050932001
17/5/20,0.051343001
18/5/20,0.054251999
19/5/20,0.056449
20/5/20,0.056875002
21/5/20,0.052246001
22/5/20,0.055833001
23/5/20,0.055321999
24/5/20,0.052641001
25/5/20,0.054010998
26/5/20,0.053429998
27/5/20,0.055183001
28/5/20,0.064558998
29/5/20,0.064659998
30/5/20,0.076958001
31/5/20,0.074352004
1/6/20,0.081168003
2/6/20,0.078455999
3/6/20,0.085438997
4/6/20,0.089000002
5/6/20,0.085441999
6/6/20,0.086025998
7/6/20,0.086654
8/6/20,0.086429998
9/6/20,0.083407
10/6/20,0.083531
11/6/20,0.07536
12/6/20,0.079553999
13/6/20,0.079028003
14/6/20,0.076747999
15/6/20,0.078387
16/6/20,0.079072997
17/6/20,0.083444998
18/6/20,0.082174003
19/6/20,0.079603001
20/6/20,0.079338998
21/6/20,0.078474998
22/6/20,0.083609998
23/6/20,0.082950003
24/6/20,0.082583003
25/6/20,0.081690997
26/6/20,0.080560997
27/6/20,0.077679001
28/6/20,0.080392003
29/6/20,0.083870001
30/6/20,0.083116002
1/7/20,0.095954001
2/7/20,0.094325997
3/7/20,0.096538
4/7/20,0.099951997
5/7/20,0.098210998
6/7/20,0.105221003
7/7/20,0.117554002
8/7/20,0.129907995
9/7/20,0.124293
10/7/20,0.118316002
11/7/20,0.125213996
12/7/20,0.126782998
13/7/20,0.124155998
14/7/20,0.131963
15/7/20,0.130368993
16/7/20,0.125921994
17/7/20,0.122486003
18/7/20,0.122477002
19/7/20,0.123712003
20/7/20,0.117923997
21/7/20,0.122965001
22/7/20,0.123921998
23/7/20,0.123773001
24/7/20,0.121887997
25/7/20,0.143577993
26/7/20,0.148108006
27/7/20,0.138770998
28/7/20,0.148598
29/7/20,0.139879003
30/7/20,0.140588
31/7/20,0.138797998
1/8/20,0.143573001
2/8/20,0.133505002
3/8/20,0.137335002
4/8/20,0.143018007
5/8/20,0.142694995
