Date,DOGE
28/10/20,0.002595
29/10/20,0.002581
30/10/20,0.002598
31/10/20,0.002576
1/11/20,0.002582
2/11/20,0.002517
3/11/20,0.002528
4/11/20,0.002533
5/11/20,0.002617
6/11/20,0.00276
7/11/20,0.002671
8/11/20,0.002711
9/11/20,0.00267
10/11/20,0.002753
11/11/20,0.002769
12/11/20,0.002779
13/11/20,0.002821
14/11/20,0.002773
15/11/20,0.002775
16/11/20,0.002886
17/11/20,0.002936
18/11/20,0.002909
19/11/20,0.002911
20/11/20,0.002984
21/11/20,0.003507
22/11/20,0.003329
23/11/20,0.003648
24/11/20,0.004204
25/11/20,0.003727
26/11/20,0.00325
27/11/20,0.003275
28/11/20,0.003405
29/11/20,0.003448
30/11/20,0.003551
1/12/20,0.003335
2/12/20,0.003374
3/12/20,0.003428
4/12/20,0.003298
5/12/20,0.003397
6/12/20,0.003388
7/12/20,0.003342
8/12/20,0.003179
9/12/20,0.003158
10/12/20,0.003105
11/12/20,0.003079
12/12/20,0.003163
13/12/20,0.003256
14/12/20,0.003231
15/12/20,0.003206
16/12/20,0.003416
17/12/20,0.00373
18/12/20,0.003858
19/12/20,0.003927
20/12/20,0.004625
21/12/20,0.004787
22/12/20,0.004508
23/12/20,0.003768
24/12/20,0.00457
25/12/20,0.004582
26/12/20,0.004494
27/12/20,0.004548
28/12/20,0.004592
29/12/20,0.004486
30/12/20,0.004636
31/12/20,0.004682
1/1/21,0.005685
2/1/21,0.010615
3/1/21,0.009771
4/1/21,0.009767
5/1/21,0.00992
6/1/21,0.010465
7/1/21,0.009742
8/1/21,0.009846
9/1/21,0.010194
10/1/21,0.00986
11/1/21,0.008835
12/1/21,0.008063
13/1/21,0.008616
14/1/21,0.009397
15/1/21,0.009369
16/1/21,0.009265
17/1/21,0.009067
18/1/21,0.009171
19/1/21,0.009098
20/1/21,0.00906
21/1/21,0.008166
22/1/21,0.008524
23/1/21,0.008579
24/1/21,0.008727
25/1/21,0.008383
26/1/21,0.008255
27/1/21,0.007482
28/1/21,0.012555
29/1/21,0.047162
30/1/21,0.028176
31/1/21,0.037195999
1/2/21,0.034875002
2/2/21,0.031520002
3/2/21,0.03712
4/2/21,0.053289
5/2/21,0.046935
6/2/21,0.057595
7/2/21,0.078782
8/2/21,0.078824997
9/2/21,0.070069999
10/2/21,0.072896004
11/2/21,0.069675997
12/2/21,0.070069
13/2/21,0.06645
14/2/21,0.062537
15/2/21,0.056591
16/2/21,0.053520001
17/2/21,0.049376
18/2/21,0.059540998
19/2/21,0.055139001
20/2/21,0.054384001
21/2/21,0.055980001
22/2/21,0.053725
23/2/21,0.047392
24/2/21,0.056554999
25/2/21,0.050167002
26/2/21,0.050480001
27/2/21,0.050083
28/2/21,0.048052002
1/3/21,0.050599001
2/3/21,0.050262
3/3/21,0.050592002
4/3/21,0.050048001
5/3/21,0.049609002
6/3/21,0.050983999
7/3/21,0.052122001
8/3/21,0.061949
9/3/21,0.057998002
10/3/21,0.056003999
11/3/21,0.055918001
12/3/21,0.055349
13/3/21,0.062431999
14/3/21,0.058591999
15/3/21,0.057087999
16/3/21,0.058607001
17/3/21,0.057652999
18/3/21,0.057383001
19/3/21,0.058327999
20/3/21,0.058961
21/3/21,0.057234
22/3/21,0.054962002
23/3/21,0.053555999
