Date,ETH
11/10/19,182.5696869
12/10/19,180.8266449
13/10/19,182.0751495
14/10/19,186.960907
15/10/19,181.4060669
16/10/19,176.013504
17/10/19,178.0283508
18/10/19,173.6213379
19/10/19,172.9130249
20/10/19,175.5343781
21/10/19,174.92099
22/10/19,172.3008575
23/10/19,162.4027863
24/10/19,162.1685486
25/10/19,181.5232086
26/10/19,179.8354797
27/10/19,184.242218
28/10/19,182.6628113
29/10/19,190.3425751
30/10/19,184.6921692
31/10/19,183.9669189
1/11/19,183.9698944
2/11/19,183.9257202
3/11/19,182.4250183
4/11/19,186.3551941
5/11/19,189.3041687
6/11/19,191.5938416
7/11/19,187.9765472
8/11/19,184.2114716
9/11/19,185.028717
10/11/19,189.4772797
11/11/19,185.4896393
12/11/19,186.8434143
13/11/19,188.2587433
14/11/19,185.9996338
15/11/19,180.5211792
16/11/19,183.3483582
17/11/19,185.1192322
18/11/19,180.5596008
19/11/19,177.4555511
20/11/19,175.698349
21/11/19,161.4627228
22/11/19,150.2681732
23/11/19,153.4177856
24/11/19,142.8347015
25/11/19,146.476532
26/11/19,148.9650726
27/11/19,153.0105591
28/11/19,151.7175751
29/11/19,155.3041534
30/11/19,152.5396881
1/12/19,151.18573
2/12/19,149.0591583
3/12/19,147.9564209
4/12/19,146.7477417
5/12/19,149.2489929
6/12/19,149.1944427
7/12/19,148.768158
8/12/19,151.2647247
9/12/19,148.225174
10/12/19,146.2670441
11/12/19,143.6080017
12/12/19,145.6040039
13/12/19,144.9447479
14/12/19,142.8692322
15/12/19,143.1149902
16/12/19,133.6140289
17/12/19,122.6038895
18/12/19,133.0921936
19/12/19,129.3211365
20/12/19,129.0660553
21/12/19,128.1309509
22/12/19,132.3725128
23/12/19,128.61409
24/12/19,129.0638885
25/12/19,126.4546356
26/12/19,126.3612213
27/12/19,127.2146072
28/12/19,128.3227081
29/12/19,134.7579803
30/12/19,132.6334839
31/12/19,129.6108551
1/1/20,130.802002
2/1/20,127.4101791
3/1/20,134.1717072
4/1/20,135.0693665
5/1/20,136.2767792
6/1/20,144.3041534
7/1/20,143.5439911
8/1/20,141.2581329
9/1/20,138.9792023
10/1/20,143.9637756
11/1/20,142.9271088
12/1/20,145.8739319
13/1/20,144.226593
14/1/20,165.9553528
15/1/20,166.2306824
16/1/20,164.3910065
17/1/20,170.779953
18/1/20,175.3656769
19/1/20,166.9698486
20/1/20,167.1205139
21/1/20,169.6971588
22/1/20,168.2941589
23/1/20,162.9285583
24/1/20,163.051178
25/1/20,161.2839355
26/1/20,168.0771027
27/1/20,170.9308929
28/1/20,176.3703156
29/1/20,175.0503387
30/1/20,184.6904755
31/1/20,180.1601715
1/2/20,183.6739502
2/2/20,188.6175385
3/2/20,189.8650665
4/2/20,189.2505951
5/2/20,204.2302399
6/2/20,212.3390808
7/2/20,222.726059
8/2/20,223.1465149
9/2/20,228.5785675
10/2/20,223.5227051
11/2/20,235.8511963
12/2/20,265.4061279
13/2/20,268.0992432
14/2/20,284.2174988
15/2/20,264.7285767
16/2/20,259.8947144
17/2/20,266.3634338
18/2/20,281.9445801
19/2/20,259.7639771
20/2/20,257.9494629
21/2/20,265.6006165
22/2/20,262.3317261
23/2/20,273.7541504
24/2/20,265.2164307
25/2/20,247.8175964
26/2/20,225.6802673
27/2/20,226.7533875
28/2/20,226.760498
29/2/20,219.8485107
1/3/20,218.9705963
2/3/20,230.5697784
3/3/20,224.4796295
4/3/20,224.5179749
5/3/20,229.2681885
6/3/20,243.5252991
7/3/20,237.8530884
8/3/20,200.6890564
9/3/20,201.9863281
10/3/20,200.7672424
11/3/20,194.8685303
12/3/20,112.3471222
13/3/20,133.2018127
14/3/20,123.3060226
15/3/20,125.2143021
16/3/20,110.6058731
17/3/20,113.942749
18/3/20,114.8422699
19/3/20,136.5938568
20/3/20,132.7371674
21/3/20,132.8187103
22/3/20,123.3211517
23/3/20,134.9116058
24/3/20,138.7614441
25/3/20,136.1958923
26/3/20,138.361557
27/3/20,133.9379425
28/3/20,130.986496
29/3/20,125.5837326
30/3/20,132.904541
31/3/20,133.5935669
1/4/20,135.634552
2/4/20,142.0291443
3/4/20,142.0913086
4/4/20,145.2193909
5/4/20,143.5466461
6/4/20,169.1358795
7/4/20,165.101944
8/4/20,172.6417389
9/4/20,170.8071442
10/4/20,158.4124451
11/4/20,158.2160187
12/4/20,161.1424255
13/4/20,156.2795563
14/4/20,157.5963898
15/4/20,153.2868958
16/4/20,172.1573792
18/4/20,186.9140015
19/4/20,181.6149597
20/4/20,172.2971649
21/4/20,172.7377014
22/4/20,182.5995789
23/4/20,185.0286713
24/4/20,189.2369385
25/4/20,195.5153046
26/4/20,197.3175354
27/4/20,197.2247162
28/4/20,198.41539
29/4/20,216.9682312
30/4/20,207.6020508
1/5/20,214.219101
2/5/20,215.3253784
3/5/20,210.9331512
4/5/20,208.1740112
5/5/20,206.7743988
6/5/20,204.0557861
7/5/20,212.2894135
8/5/20,212.9915771
9/5/20,211.6001282
10/5/20,188.5995636
11/5/20,185.9128418
12/5/20,189.3125
13/5/20,199.1932831
14/5/20,202.9490967
15/5/20,195.6226654
16/5/20,200.677124
17/5/20,207.1586914
18/5/20,214.5250549
19/5/20,213.4511108
20/5/20,210.0967407
21/5/20,199.883606
22/5/20,207.1691895
23/5/20,208.694397
24/5/20,202.3703461
25/5/20,205.3197479
26/5/20,201.9023132
27/5/20,208.8634338
28/5/20,219.8404236
29/5/20,220.6751251
30/5/20,242.3455963
31/5/20,230.975708
1/6/20,246.9917603
2/6/20,237.2190552
3/6/20,244.1793213
4/6/20,244.4263916
5/6/20,241.2219849
6/6/20,241.9313202
7/6/20,245.1672516
8/6/20,246.309906
9/6/20,244.9114532
10/6/20,247.4449463
11/6/20,231.7026672
12/6/20,237.4932098
13/6/20,238.908844
14/6/20,234.1147003
15/6/20,229.9289093
16/6/20,234.4161682
17/6/20,233.0282745
18/6/20,232.1011658
19/6/20,227.1382904
20/6/20,229.2742615
21/6/20,228.9898224
22/6/20,242.5331879
23/6/20,244.1421509
24/6/20,235.7724609
25/6/20,232.9444885
26/6/20,229.668045
27/6/20,222.9597931
28/6/20,225.347168
29/6/20,228.19487
30/6/20,226.3150024
1/7/20,231.1134186
2/7/20,229.3921967
3/7/20,225.3870697
4/7/20,229.0741119
5/7/20,227.6645966
6/7/20,241.5102234
7/7/20,239.075531
8/7/20,246.6700134
9/7/20,243.0159607
10/7/20,240.9849854
11/7/20,239.4581757
12/7/20,242.1316986
13/7/20,239.6045837
14/7/20,240.2114868
15/7/20,238.4235229
16/7/20,233.6408844
17/7/20,232.7730865
18/7/20,235.4838104
19/7/20,238.4875183
20/7/20,236.1531677
21/7/20,245.0167236
22/7/20,262.1906433
23/7/20,274.6890564
24/7/20,279.2154236
25/7/20,304.0567627
26/7/20,309.6436157
27/7/20,321.5140991
28/7/20,316.6572571
29/7/20,318.1908875
30/7/20,334.5866394
31/7/20,345.554657
1/8/20,385.199707
2/8/20,370.6717224
3/8/20,386.295166
4/8/20,389.8754883
5/8/20,401.5905762
6/8/20,394.9619446
7/8/20,379.5128479
8/8/20,393.9873657
9/8/20,391.1204529
10/8/20,395.8875732
11/8/20,380.3840637
12/8/20,391.0241699
13/8/20,428.7417908
14/8/20,437.3978271
15/8/20,433.3549194
16/8/20,433.7866211
17/8/20,429.53125
18/8/20,423.6693115
19/8/20,406.4637756
20/8/20,416.4397888
21/8/20,389.1263428
22/8/20,395.835144
23/8/20,391.384491
24/8/20,408.1441956
25/8/20,384.0010376
26/8/20,386.4661255
27/8/20,382.6326294
28/8/20,395.8746643
29/8/20,399.9214783
30/8/20,428.3957214
31/8/20,435.0797424
1/9/20,477.0519104
2/9/20,440.0404968
3/9/20,385.671936
4/9/20,388.2411499
5/9/20,335.2600708
6/9/20,353.3622742
7/9/20,352.6734924
8/9/20,337.6021118
9/9/20,351.1100159
10/9/20,368.1018982
11/9/20,374.6955872
12/9/20,387.1831055
13/9/20,365.5700073
14/9/20,377.2688599
15/9/20,364.8392029
16/9/20,365.8122864
17/9/20,389.0192261
18/9/20,384.3645325
